Artist_Reputation,Weight,Material,Price_Of_Sculpture,Base_Shipping_Price,International,Express_Shipment,Installation_Included,Transport,Fragile,Customer_Information,Cost
Low_Reputation,4128.0,Brass,13.91,16.27,Yes,Yes,No,Airways,No,Working Class,-283.29
Low_Reputation,61.0,Brass,6.83,15.0,No,No,No,Roadways,No,Working Class,-159.96
Low_Reputation,237.0,Clay,4.96,21.18,No,No,No,Roadways,Yes,Working Class,-154.29
Low_Reputation,1351.5868187579215,Aluminium,5.81,16.31,No,No,No,Roadways,No,Wealthy,-161.16
Low_Reputation,324.0,Aluminium,3.18,11.94,Yes,Yes,Yes,Airways,No,Working Class,-159.23
High_Reputation,3287.0,Clay,12.81,13.25,Yes,No,No,Waterways,Yes,Wealthy,-422.42
Low_Reputation,108.0,Clay,3.98,19.76,Yes,No,No,Waterways,Yes,Working Class,-160.1
Low_Reputation,40834.0,Bronze,37.22,85.09,No,No,Yes,Roadways,No,Working Class,-652.66
Low_Reputation,1534.0,Bronze,5.87,20.72,No,Yes,No,Airways,No,Working Class,-190.08
Moderate_Reputation,396.89110225763613,Wood,6.47,17.55,No,Yes,Yes,Roadways,No,Working Class,-334.98
High_Reputation,3954.0,Brass,14.03,16.43,Yes,No,Yes,Waterways,No,Working Class,-359.72
Low_Reputation,11909.0,Stone,29.47,28.18,Yes,No,No,Waterways,No,Working Class,-329.2
Low_Reputation,7976.0,Bronze,7.1,82.84,No,Yes,No,Roadways,No,Wealthy,-425.64
High_Reputation,184.0,Aluminium,6.9,10.48,No,No,No,Roadways,No,Working Class,-244.61
Low_Reputation,7901.0,Brass,8.56,93.59,No,No,No,Waterways,No,Working Class,-547.81
Moderate_Reputation,985.0,Aluminium,6.76,19.83,No,No,Yes,Roadways,No,Working Class,-371.82
High_Reputation,182.0,Wood,6.0,11.04,No,No,No,Roadways,No,Wealthy,-280.22
Low_Reputation,4900.0,Marble,25.83,18.35,Yes,Yes,Yes,Airways,No,Wealthy,-358.92
Moderate_Reputation,449.0,Aluminium,4.91,24.67,No,No,Yes,Airways,No,Working Class,-214.15
High_Reputation,301.0,Clay,4.38,20.36,Yes,No,No,Waterways,Yes,Working Class,-280.42
Low_Reputation,358.0,Aluminium,3.26,13.82,Yes,No,No,Airways,No,Wealthy,-179.32
Moderate_Reputation,593.0,Wood,3.86,17.0,No,No,Yes,Roadways,No,Working Class,-288.58
Low_Reputation,1002.0,Clay,4.15,22.03,No,No,No,Roadways,Yes,Working Class,-156.3
Moderate_Reputation,71.0,Aluminium,4.28,19.83,No,No,No,Roadways,No,Working Class,-205.19
Low_Reputation,3669.0,Bronze,5.13,11.07,No,No,No,Roadways,No,Working Class,-152.23
Low_Reputation,74.0,Clay,6.77,11.75,No,No,Yes,Roadways,Yes,Working Class,-137.87
Moderate_Reputation,215.0,Clay,6.25,23.85,No,No,No,Roadways,Yes,Wealthy,-263.23
Low_Reputation,2443.0,Clay,5.18,15.8,No,No,Yes,Airways,Yes,Wealthy,-300.68
Low_Reputation,5624.0,Aluminium,19.82,63.79,No,No,No,Roadways,No,Working Class,-392.2
Very_High_Reputation,3872.0,Brass,5.49,20.04,Yes,Yes,No,Airways,No,Wealthy,-963.88
Low_Reputation,553.0,Clay,3.03,18.09,Yes,No,No,Waterways,Yes,Wealthy,-182.92
Moderate_Reputation,1073.0,Aluminium,3.6,23.31,No,No,Yes,Roadways,No,Working Class,-269.88
Moderate_Reputation,415.0,Bronze,5.75,22.0,No,No,Yes,Airways,No,Working Class,-210.45
Low_Reputation,583.0,Wood,3.5,16.83,Yes,No,Yes,Waterways,No,Working Class,-140.38
Low_Reputation,5263.0,Brass,7.86,55.05,No,No,Yes,Roadways,No,Working Class,-383.26
Moderate_Reputation,4736.0,Stone,18.4,23.76,No,Yes,No,Airways,No,Working Class,-323.55
High_Reputation,3996.0,Aluminium,11.76,22.39,No,Yes,Yes,Roadways,No,Working Class,-836.8
Low_Reputation,16227.0,Marble,46.61,54.29,Yes,Yes,Yes,Airways,No,Wealthy,-595.73
Moderate_Reputation,2663.0,Aluminium,4.43,15.69,No,No,No,Roadways,No,Working Class,-232.86
High_Reputation,495.0,Stone,6.11,20.95,Yes,No,No,Waterways,No,Working Class,-516.72
High_Reputation,2135.0,Aluminium,9.97,14.81,No,Yes,Yes,Airways,No,Working Class,-1157.2
Moderate_Reputation,14074.0,Clay,34.08,95.89,No,No,Yes,Airways,Yes,Working Class,-1165.4
Low_Reputation,788.0,Brass,4.22,24.47,No,No,No,Roadways,No,Working Class,-179.2
Moderate_Reputation,496.0,Bronze,3.06,18.67,No,No,No,Roadways,No,Working Class,-215.68
Low_Reputation,3427.5422818791944,Clay,4.71,17.09,No,No,No,Roadways,Yes,Working Class,-148.42
Moderate_Reputation,1247.0,Brass,6.02,13.52,No,No,Yes,Roadways,No,Working Class,-244.62
Moderate_Reputation,3427.5422818791944,Clay,3.79,10.26,No,Yes,Yes,Roadways,Yes,Wealthy,-213.96
Very_High_Reputation,575.0,Wood,4.58,13.39,No,No,No,Roadways,No,Working Class,-708.86
Moderate_Reputation,2112.0,Bronze,4.16,17.29,Yes,No,No,Airways,No,Working Class,-251.07
Moderate_Reputation,1171.0,Brass,3.34,18.85,No,No,No,Airways,No,Working Class,-236.89
Low_Reputation,477.0,Clay,6.35,15.4,Yes,No,No,Airways,Yes,Working Class,-189.24
Moderate_Reputation,50809.0,Bronze,47.18,67.44,No,No,Yes,Waterways,No,Working Class,-1030.25
Low_Reputation,345.0,Wood,6.23,22.3,No,Yes,Yes,Airways,No,Wealthy,-225.61
Moderate_Reputation,2851.0,Aluminium,6.55,22.15,No,Yes,No,Roadways,No,Wealthy,-390.57
Moderate_Reputation,944.0,Clay,5.49,16.52,No,No,No,Roadways,Yes,Working Class,-215.42
Low_Reputation,494.0,Wood,5.58,18.88,No,Yes,Yes,Airways,No,Wealthy,-156.01
Low_Reputation,9467.0,Clay,20.41,27.4,No,Yes,No,Roadways,Yes,Working Class,-428.22
Very_High_Reputation,149.0,Aluminium,6.92,21.85,No,No,No,Waterways,No,Working Class,-626.73
Low_Reputation,7365.0,Clay,28.53,29.16,Yes,No,Yes,Waterways,Yes,Working Class,-336.53
Moderate_Reputation,4848.0,Clay,32.42,23.52,Yes,No,Yes,Airways,Yes,Wealthy,-552.54
Low_Reputation,1153.0,Aluminium,3.71,20.65,No,No,No,Roadways,No,Working Class,-199.1
Very_High_Reputation,1104.0,Aluminium,5.91,14.04,Yes,No,Yes,Waterways,No,Working Class,-801.86
Moderate_Reputation,450.0,Wood,4.95,24.48,No,No,No,Roadways,No,Working Class,-211.1
High_Reputation,51068.0,Stone,153.97,71.73,No,Yes,No,Roadways,No,Wealthy,-687.11
Moderate_Reputation,63.0,Wood,4.3,11.28,No,No,No,Roadways,No,Working Class,-112.03
High_Reputation,541.0,Bronze,5.28,23.04,No,No,No,Roadways,No,Working Class,-420.24
Low_Reputation,1606.0,Clay,6.56,16.18,No,No,No,Airways,Yes,Working Class,-185.39
High_Reputation,2125.0,Stone,5.22,19.81,No,Yes,Yes,Roadways,No,Working Class,-523.71
Moderate_Reputation,7830.0,Clay,16.23,88.99,No,No,No,Roadways,Yes,Working Class,-772.7
Moderate_Reputation,896.0,Wood,3.32,17.24,No,No,Yes,Roadways,No,Working Class,-344.74
Low_Reputation,2168.0,Marble,4.65,17.06,No,No,No,Roadways,No,Working Class,-171.15
Moderate_Reputation,322.0,Wood,5.31,15.7,No,Yes,Yes,Roadways,No,Working Class,-216.4
Moderate_Reputation,26.0,Wood,3.15,18.99,Yes,Yes,Yes,Airways,No,Wealthy,-182.64
Moderate_Reputation,1351.5868187579215,Aluminium,6.43,11.82,Yes,Yes,No,Airways,No,Working Class,-196.34
Moderate_Reputation,815.0,Clay,5.52,21.32,No,No,Yes,Waterways,Yes,Working Class,-239.33
Very_High_Reputation,653.0,Bronze,5.6,22.6,Yes,Yes,No,Airways,No,Wealthy,-406.91
Moderate_Reputation,1448.0,Bronze,9.85,15.31,Yes,No,Yes,Waterways,No,Working Class,-371.58
High_Reputation,78.0,Bronze,4.63,13.77,No,Yes,Yes,Roadways,No,Wealthy,-231.13
Moderate_Reputation,491.0,Wood,3.35,15.16,No,No,No,Roadways,No,Wealthy,-157.6
High_Reputation,3130.0,Bronze,6.21,16.02,No,Yes,Yes,Roadways,No,Working Class,-164.69
Low_Reputation,14120.0,Clay,12.59,72.17,No,No,No,Roadways,Yes,Working Class,-655.89
Moderate_Reputation,837.0,Aluminium,3.12,10.98,Yes,No,Yes,Waterways,No,Working Class,-182.24
Low_Reputation,701.0,Stone,6.7,24.16,Yes,No,No,Airways,No,Working Class,-253.49
High_Reputation,396.89110225763613,Wood,3.03,13.03,No,No,Yes,Roadways,No,Wealthy,-290.28
Low_Reputation,8648.0,Bronze,17.04,74.41,No,Yes,No,Airways,No,Working Class,-527.23
Low_Reputation,3427.5422818791944,Clay,6.49,21.95,No,No,No,Roadways,Yes,Working Class,-198.87
Moderate_Reputation,1318.0,Bronze,4.15,13.13,No,No,No,Roadways,No,Working Class,-179.33
Moderate_Reputation,3427.5422818791944,Clay,8.71,24.06,No,Yes,No,Roadways,Yes,Working Class,-357.42
Low_Reputation,5648.0,Brass,10.24,79.85,Yes,No,No,Waterways,No,Working Class,-480.86
High_Reputation,4475.0,Clay,27.1,24.77,No,No,No,Roadways,Yes,Working Class,-569.38
Low_Reputation,3330.0,Brass,11.22,20.81,Yes,No,No,Waterways,No,Working Class,-205.17
Low_Reputation,85.0,Marble,5.64,14.19,No,Yes,No,Airways,No,Working Class,-256.53
High_Reputation,1404.0,Clay,5.49,17.91,No,No,No,Roadways,Yes,Working Class,-476.36
Low_Reputation,335.0,Aluminium,4.15,21.65,No,No,No,Roadways,No,Working Class,-177.7
Moderate_Reputation,32.0,Aluminium,4.16,22.2,No,No,No,Roadways,No,Working Class,-161.78
Low_Reputation,393.0,Aluminium,6.33,22.54,No,Yes,No,Airways,No,Working Class,-174.99
Moderate_Reputation,870.0,Wood,6.41,16.11,Yes,Yes,Yes,Airways,No,Wealthy,-475.08
Moderate_Reputation,163.0,Wood,3.19,13.89,No,No,Yes,Roadways,No,Working Class,-182.93
High_Reputation,285.0,Aluminium,3.62,21.02,No,No,No,Roadways,No,Working Class,-248.57
Moderate_Reputation,127.0,Wood,5.18,20.07,No,Yes,No,Airways,No,Working Class,-197.47
High_Reputation,267.0,Aluminium,3.19,11.17,Yes,No,Yes,Waterways,No,Working Class,-302.53
Moderate_Reputation,57.0,Aluminium,6.92,24.71,No,No,Yes,Waterways,No,Working Class,-237.86
Low_Reputation,13611.0,Bronze,32.43,69.33,No,No,Yes,Waterways,No,Working Class,-604.6
High_Reputation,220.0,Wood,3.2,20.51,No,No,Yes,Roadways,No,Working Class,-567.81
Low_Reputation,150.0,Wood,6.42,13.76,Yes,No,No,Waterways,No,Working Class,-326.91
High_Reputation,1351.5868187579215,Aluminium,6.19,16.64,Yes,Yes,Yes,Airways,No,Working Class,-588.97
High_Reputation,1328.0,Bronze,6.36,11.62,No,No,Yes,Roadways,No,Working Class,-345.16
Moderate_Reputation,5741.0,Stone,30.53,81.56,Yes,No,No,Waterways,No,Working Class,-661.2
Low_Reputation,157.0,Wood,4.98,10.66,No,Yes,Yes,Airways,No,Wealthy,-141.17
High_Reputation,832.0,Wood,4.33,10.78,Yes,Yes,No,Airways,No,Wealthy,-404.9
Low_Reputation,879.0,Bronze,7.08,14.91,No,No,No,Roadways,No,Working Class,-352.88
Low_Reputation,442.0,Brass,3.43,12.0,No,No,No,Waterways,No,Working Class,-123.57
Low_Reputation,210.0,Wood,3.62,11.65,No,No,Yes,Roadways,No,Working Class,-120.85
Moderate_Reputation,17.0,Clay,5.02,21.44,No,Yes,No,Airways,Yes,Wealthy,-176.03
Very_High_Reputation,254.0,Clay,6.16,16.25,No,No,Yes,Waterways,Yes,Working Class,-615.1
